# K-band LF at 0<z<4 from Saracco etal (2006, MN 367, 349)
# 1/Vmax LFs from Fig.13 (data in email from Saracco 23/7/08)
#
# based on sample of 300 gals in HDF-S with K(vega)<23 with BVIJHK photom
# photo-z's (75%) and spec-z's (25%)
# k-corrected to rest-frame K using model SEDs
#
# Vega mags
# assume Omega=0.7, Lambda=0.3, H0=70
#
# phi is dn/dMag in Mpc^-3 mag^-1
# sig(phi) is error on phi
#
# Mag	phi		sig(phi)	nbin
# z<0.8 (median z=0.55)
 -25.5  0.000297569  	0.000297569 	1
 -24.5  0.00178541394  	0.000728892221 	6
 -23.5  0.00297568995  	0.000940995815 	10
 -22.5  0.00416596606  	0.00111340114 	14
 -21.5  0.00595138129  	0.00133076892 	20
 -20.5  0.0065465197  	0.00139572215 	22
 -19.5  0.00407050597  	0.00126032496 	11
 -18.5  0.00734495325  	0.00295915199 	7
 -17.5  0.0189874824  	0.00889430381 	5
 -16.5  0.0397525467  	0.0283388272 	2
 -14.5  0.352040827  	0.270022839 	2
# 0.8<z<1.9 (median z=1.2)
 -25.5  0.000243812145  0.000121906065 	4
 -24.5  0.000853342412  0.000228065357 	14
 -23.5  0.00182859157  	0.000333853503 	30
 -22.5  0.00153319351  	0.000306721369 	25
 -21.5  0.00180652516  	0.000441522192 	18
 -20.5  0.00160857139  	0.000757027301 	6
 -19.5  0.0021284509  	0.00138723792 	3
# 1.9<z<4 (median z=3.1)
 -26.5  2.67220366E-05  2.67220366E-05 	1
 -25.5  0.000293942372  8.86269627E-05 	11
 -24.5  0.000565493829  0.000123473234 	21
 -23.5  0.000779456866  0.00015565916 	26
 -22.5  0.00117415958  	0.000334245531 	22
