# table of photometric redshifts of SMGs in LESS sample (Wardlow etal 2011, MN in press)
# table emailed to me by Julie Wardlow (21/12/2010)
# table here includes full sample analyzed (136 sources), rather than just the 78 robust counterparts in Table 2 of the paper
#
# assume Omega_m=0.3, Omega_lambda=0.7, H0=70 where needed
# AB magnitudes
#
# S870 is deboosted 870mu flux in mJy
# ID_quality = 2 for robust ID, 1 for tentative ID, -99 for no ID
# (only robust IDs used in most of paper)
# zphot is photometric redshift, BUT
# - zphot=7.00001 means photo-z program  failed to find a sensible solution (so only use zphot <= 7)
# - zphot=99 means insufficient photometric data to estimate photo-z (even if has ID)
#
# NB LESS_87 appears TWICE, with 2 "robust" IDs, but only one of these has photo-z
#
#    short_name   S870	 err	ID_quality	zphot		errdn		errup		M_H
    LESS_1       14.5        1.2         2           2.685       0.37899995       0.4000001        -23.03     
    LESS_2a      12.0        1.2         2           1.805       0.13899994       0.34600008       -23.42     
    LESS_2b      12.0        1.2         2           2.265       0.55200005       0.15799999       -23.15     
    LESS_3       11.7        1.2         2           3.925       0.7219999        0.53799987       -24.66     
    LESS_4       11.0        1.2         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_5       10.0        1.2         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_6       9.7         1.2         2           0.395       0.031000018      0.08699998       -20.29     
    LESS_7       9.2         1.2         2           2.805       0.07400012       0.18499994       -25.5      
    LESS_8       11.7        1.6         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_9       9.2         1.2         2           4.63        1.095            0.10299969       -25.29     
    LESS_10a     9.1         1.2         2           2.46        0.15100002       0.14999986       -23.46     
    LESS_10b     9.1         1.2         2           0.91        0.048000038      0.065999985      -23.32     
    LESS_11      9.1         1.2         2           2.595       0.362            0.3039999        -24.04     
    LESS_12      8.8         1.2         2           3.925       2.113            1.0220001        -24.06     
    LESS_13      8.8         1.2         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_14      9.3         1.3         2           3.555       0.56200004       0.92099977       -24.74     
    LESS_15      8.9         1.3         2           1.945       0.3850001        3.0489998        -23.59     
    LESS_16      8.1         1.2         2           1.085       0.09400004       0.08099997       -24.05     
    LESS_17      7.6         1.3         2           1.55        0.10899997       0.10500002       -24.11     
    LESS_18      7.5         1.2         2           2.065       0.08700001       0.07999992       -24.88     
    LESS_19      7.3         1.2         2           2.11        0.09899998       0.10500002       -22.8      
    LESS_20      7.2         1.2         2           2.795       0.27400017       0.17199993       -24.28     
    LESS_21      7.6         1.3         1        	 1.26        0.18299997       0.074            -22.59     
    LESS_22      8.0         1.5         2           1.95        0.38100004       0.339            -24.67     
    LESS_23      8.2         1.5         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_24      7.4         1.4         2           1.715       0.36             0.28700006       -24.06     
    LESS_25      6.7         1.3         2           2.275       0.15100002       0.08799982       -24.47     
    LESS_26      6.6         1.2         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_27a     7.2         1.4         2           2.095       0.885            1.0019999        -22.83     
    LESS_27b     7.2         1.4         2           2.465       0.7169999        0.41900015       -23.73     
    LESS_28      6.7         1.3         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_29      7.1         1.4         2           2.645       0.86800003       4.355            -24.13     
    LESS_30      8.7         1.8         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_31      6.3         1.3         2           3.63        0.697            0.8449998        -24.3      
    LESS_32      6.4         1.3         1           4.225       2.724            0.6540003        -24.13     
    LESS_33      6.4         1.3         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_34      6.3         1.3         2           0.86        0.048000038      0.11199999       -23.53     
    LESS_35      8.1         1.8         2           99.0        0.0              0.0              99.0       
    LESS_36      6.4         1.4         2           2.49        0.3110001        0.5339999        -24.58     
    LESS_37      6.7         1.5         2           3.515       0.35800004       0.26099992       -24.95     
    LESS_38      6.0         1.3         1           0.855       0.12200004       0.074            -22.63     
    LESS_39      6.2         1.4         2           2.585       0.055999994      0.15799999       -24.25     
    LESS_40      5.9         1.3         2           1.905       0.10699999       0.10100007       -23.61     
    LESS_41      7.6         1.9         2           2.745       0.9089999        4.255            -25.56     
    LESS_42      5.8         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_43      5.9         1.4         2           1.675       0.13899994       0.23400009       -23.35     
    LESS_44      6.7         1.6         2           2.495       0.0769999        0.0010001659     -24.82     
    LESS_45      5.8         1.4         1           2.205       0.7779999        1.1100001        -23.99     
    LESS_46      7.2         1.8         2           99.0        0.0              0.0              99.0       
    LESS_47      6.3         1.5         2           2.905       0.42199993       0.13700008       -23.77     
    LESS_48      6.8         1.7         2           1.91        0.43400002       0.35500014       -24.57     
    LESS_49a     5.9         1.4         2           1.495       0.102            0.14699996       -23.22     
    LESS_49b     5.9         1.4         2           3.305       0.37800002       0.21799994       -24.13     
    LESS_50a     5.6         1.3         2           0.845       0.10700005       0.15999997       -21.91     
    LESS_50b     5.6         1.3         2           2.69        0.24699998       0.48600006       -24.67     
    LESS_51      5.6         1.3         1           1.19        0.06100011       0.082999945      -23.46     
    LESS_52      5.6         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_53      5.6         1.4         1           0.595       0.09900004       0.17799997       -21.25     
    LESS_53      5.6         1.4         1           0.465       0.032999992      0.038000017      -20.81     
    LESS_54      6.0         1.5         2           1.835       0.25100005       0.61800003       -23.35     
    LESS_55      5.5         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_56      5.4         1.4         2           2.465       0.23899984       0.40900016       -24.38     
    LESS_57      5.5         1.4         2           2.94        0.11100006       0.13599992       -24.26     
    LESS_58      5.9         1.6         1           3.515       0.78100014       0.306            -23.89     
    LESS_59      5.3         1.4         2           1.405       0.12899995       0.28900003       -23.52     
    LESS_60      5.2         1.4         2           1.64        0.24399996       0.10399997       -24.01     
    LESS_61      5.2         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_62      5.4         1.5         2           1.52        0.21099997       0.09899998       -24.45     
    LESS_63      5.3         1.4         2           1.39        0.051            0.06700003       -23.5      
    LESS_64      5.1         1.4         2           4.19        0.319            0.04400015       -24.31     
    LESS_65      5.2         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_66      5.3         1.5         2           2.395       0.0539999        0.042000055      -25.78     
    LESS_67      5.2         1.4         2           2.265       0.10700011       0.051999807      -24.82     
    LESS_68      5.1         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_69      5.0         1.3         1           2.41        0.5200001        0.7809999        -24.02     
    LESS_69      5.0         1.3         1           2.005       0.14200008       0.26299977       -23.21     
    LESS_70      5.0         1.4         2           2.305       0.062999964      0.14599991       -24.48     
    LESS_71      5.6         1.6         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_72      5.0         1.4         2           0.86        0.04100001       0.041999996      -23.46     
    LESS_73      5.1         1.4         2           4.61        0.59299994       0.94000006       -24.42     
    LESS_74a     5.1         1.4         2           1.835       0.49300003       0.32299995       -23.49     
    LESS_74b     5.1         1.4         2           1.71        0.16600001       0.199            -23.29     
    LESS_75      5.1         1.4         2           2.46        0.09100008       0.062999964      -25.39     
    LESS_76      5.1         1.5         2           7.00001     6.02801          -1.001358E-5     -24.2      
    LESS_77      4.8         1.4         1           2.29        0.10599995       0.15499997       -23.82     
    LESS_78      5.1         1.7         2           2.115       0.33599997       0.32200003       -24.42     
    LESS_79      4.7         1.4         2           1.415       0.1739999        0.232            -23.89     
    LESS_80      4.6         1.4         1           1.99        0.291            0.16199994       -23.4      
    LESS_80      4.6         1.4         1           1.84        0.41200006       0.1609999        -23.41     
    LESS_81      4.8         1.5         2           2.23        0.1500001        0.1329999        -24.89     
    LESS_82      4.5         1.4         1           1.88        0.35500002       0.60300004       -22.59     
    LESS_83      5.3         1.8         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_84      4.6         1.4         2           2.29        0.06999993       0.14700007       -24.14     
    LESS_85      6.0         2.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_86      5.1         1.8         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_87      5.3         1.9         2           3.2         0.809            0.102            -24.84     
    LESS_87      5.3         1.9         2           99.0        0.0              0.0              99.0       
    LESS_88      4.5         1.4         2           2.35        0.095999956      0.11100006       -24.37     
    LESS_89      4.4         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_90      4.5         1.5         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_91      4.4         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_92      4.3         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_93      5.2         2.0         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_94      4.4         1.4         1           2.805       0.61100006       0.5769999        -23.85     
    LESS_95      4.3         1.4         1           1.36        0.13999999       0.19099998       -23.15     
    LESS_96      4.3         1.4         2           2.71        0.08800006       0.032999992      -26.3      
    LESS_97      4.2         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_98      4.2         1.4         2           1.555       0.16199994       0.17400002       -24.4      
    LESS_99      4.3         1.4         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_100     4.8         1.9         -99         -99.0       -99.0            -99.0            -99.0      
    LESS_101     4.2         1.4         2           2.395       0.51899993       0.36299992       -23.51     
    LESS_102     4.3         1.5         2           1.685       0.25             0.13200009       -24.34     
    LESS_103     4.3         1.5         2           1.835       0.869            0.59399986       -23.44     
