#frequency ebl ebl1 ebl2 type
10000000000.0 8.35991873527e-10 3.07236998724e-12 3.07236998724e-12 2.0
30000000000.0 2.23478048132e-08 2.65452766897e-10 2.65452766897e-10 2.0
600000000.0 2.49326511308e-13 8.69357811589e-15 8.69357811589e-15 2.0
820000000.0 5.40557472594e-13 7.28422792903e-14 7.28422792903e-14 2.0
2500000000.0 1.19054337005e-11 1.36816475994e-12 1.36816475994e-12 2.0
150000000.0 4.28514387438e-14 2.38492720259e-15 2.38492720259e-15 2.0
178000000.0 4.42290670719e-14 5.19822143408e-15 5.19822143408e-15 2.0
408000000.0 1.11125669964e-13 4.17334222005e-15 4.17334222005e-15 2.0
610000000.0 2.53528722469e-13 4.88158728451e-15 4.88158728451e-15 2.0
1400000000.0 2.37784600425e-12 5.90140827149e-15 5.90140827149e-15 2.0
2700000000.0 1.65485619073e-11 2.41893833835e-14 2.41893833835e-14 2.0
5000000000.0 1.04798540265e-10 1.15213874521e-14 1.15213874521e-14 2.0
8440000000.0 5.03514946408e-10 2.77071663999e-14 2.77071663999e-14 2.0
150000000.0 2.12834014334e-14 3.11077461208e-16 3.11077461208e-16 2.0
325000000.0 5.82767307199e-14 6.32812205809e-15 6.32812205809e-15 2.0
408000000.0 9.02589588642e-14 6.26001333008e-16 6.26001333008e-16 2.0
610000000.0 2.39581330228e-13 6.27632650866e-15 6.27632650866e-15 2.0
1400000000.0 2.39049187911e-12 1.686116649e-14 1.686116649e-14 2.0
4800000000.0 9.27156435242e-11 6.79559083257e-15 6.79559083257e-15 2.0
8400000000.0 4.96422619451e-10 9.10502990458e-15 9.10502990458e-15 2.0
3200000000.0 2.72922742669e-11 1.00649948675e-13 1.00649948675e-13 2.0
3410000000.0 3.27584998899e-11 9.7431707659e-14 9.7431707659e-14 2.0
7980000000.0 4.01864745459e-10 2.02641929824e-12 2.02641929824e-12 2.0
8330000000.0 4.52482765844e-10 2.65907851654e-12 2.65907851654e-12 2.0
9720000000.0 7.06602116839e-10 1.40729982965e-12 1.40729982965e-12 2.0
10490000000.0 8.84493431123e-10 2.1219150571e-12 2.1219150571e-12 2.0
29500000000.0 1.48822804263e-08 1.19112849359e-09 1.19112849359e-09 2.0
31000000000.0 1.73942549101e-08 6.76558798108e-10 6.76558798108e-10 2.0
90000000000.0 2.4589784817e-07 3.45642403336e-09 3.45642403336e-09 2.0
22000000.0 6.65905575459e-14 1.69494319318e-14 1.69494319318e-14 1.0
45000000.0 1.08180267681e-13 1.40544796983e-14 1.40544796983e-14 1.0
408000000.0 2.79827018184e-13 7.3450810042e-14 7.3450810042e-14 1.0
1420000000.0 2.84765329369e-12 4.62709676469e-13 4.62709676469e-13 1.0
1400000000.0 2.38206129587e-12 2.38206129587e-13 2.38206129587e-13 2.0
3020000000.0 2.31743247261e-11 2.31743247261e-12 2.31743247261e-12 2.0
3000000000.0 2.27293931656e-11 8.29539896554e-15 8.29539896554e-14 2.0
1400000000.0 2.39470717074e-12 8.43058324498e-16 8.43058324498e-15 2.0
1750000000.0 4.60800531466e-12 1.64659829004e-14 1.64659829004e-14 2.0
68052784000.0 1.36597589628e-07 9.52738976e-12 9.52738976e-12 2.0
81543424000.0 2.03457366354e-07 1.549325056e-11 1.549325056e-11 2.0
95333856000.0 2.79351078205e-07 2.3833464e-11 2.3833464e-11 2.0
108824496000.0 3.56694050539e-07 2.502963408e-11 2.502963408e-11 2.0
122315136000.0 4.330946567e-07 2.690932992e-11 2.690932992e-11 2.0
136105568000.0 5.06420236359e-07 2.858216928e-11 2.858216928e-11 2.0
149596208000.0 5.70699061785e-07 2.692731744e-11 2.692731744e-11 2.0
163386640000.0 6.26551819339e-07 2.94095952e-11 2.94095952e-11 2.0
176877280000.0 6.70189782693e-07 2.83003648e-11 2.83003648e-11 2.0
190367920000.0 7.02139710374e-07 2.66515088e-11 2.66515088e-11 2.0
204158352000.0 7.22849185842e-07 2.654058576e-11 2.654058576e-11 2.0
217648992000.0 7.31905677318e-07 2.611787904e-11 2.611787904e-11 2.0
231139632000.0 7.3057690324e-07 2.542535952e-11 2.542535952e-11 2.0
244930064000.0 7.19908241311e-07 2.44930064e-11 2.44930064e-11 2.0
258420704000.0 7.01436485281e-07 2.842627744e-11 2.842627744e-11 2.0
272211136000.0 6.75734201895e-07 3.266533632e-11 3.266533632e-11 2.0
285701776000.0 6.45514592694e-07 3.999824864e-11 3.999824864e-11 2.0
299192416000.0 6.1133088784e-07 4.787078656e-11 4.787078656e-11 2.0
312982848000.0 5.73578626902e-07 5.633691264e-11 5.633691264e-11 2.0
326473488000.0 5.3486151539e-07 7.182416736e-11 7.182416736e-11 2.0
339964128000.0 4.9549771656e-07 7.479210816e-11 7.479210816e-11 2.0
353754560000.0 4.55759687376e-07 8.13635488e-11 8.13635488e-11 2.0
367245200000.0 4.17073028736e-07 8.4466396e-11 8.4466396e-11 2.0
381035632000.0 3.7894374638e-07 8.763819536e-11 8.763819536e-11 2.0
394526272000.0 3.43379886098e-07 8.679577984e-11 8.679577984e-11 2.0
408016912000.0 3.09586912149e-07 8.568355152e-11 8.568355152e-11 2.0
421807344000.0 2.77405817855e-07 8.43614688e-11 8.43614688e-11 2.0
435297984000.0 2.48154674719e-07 8.270661696e-11 8.270661696e-11 2.0
448788624000.0 2.20907224392e-07 8.526983856e-11 8.526983856e-11 2.0
462579056000.0 1.955182896e-07 8.789002064e-11 8.789002064e-11 2.0
476069696000.0 1.7306085589e-07 9.997463616e-11 9.997463616e-11 2.0
489860128000.0 1.52160352959e-07 1.1266782944e-10 1.1266782944e-10 2.0
503350768000.0 1.33790634134e-07 1.3087119968e-10 1.3087119968e-10 2.0
516841408000.0 1.17033568428e-07 1.4471559424e-10 1.4471559424e-10 2.0
530631840000.0 1.02173160792e-07 1.59189552e-10 1.59189552e-10 2.0
544122480000.0 8.91871156968e-08 1.741191936e-10 1.741191936e-10 2.0
557912912000.0 7.70533522763e-08 1.8411126096e-10 1.8411126096e-10 2.0
571403552000.0 6.69456401523e-08 1.999912432e-10 1.999912432e-10 2.0
584894192000.0 5.80273527883e-08 2.3980661872e-10 2.3980661872e-10 2.0
598684624000.0 5.00739819514e-08 3.292765432e-10 3.292765432e-10 2.0
612175264000.0 4.33848609597e-08 5.3871423232e-10 5.3871423232e-10 2.0
625665904000.0 3.6294879091e-08 9.697821512e-10 9.697821512e-10 2.0
