#redshift distribution of the AS2UDS SMGs that have S_870>=5mJy. The distribution was obtained by stacking the likelihood distributions of the SMGs and the errors are from bootstraping. The columns are redshift (at the middle of the bin) , n(z)/dz/deg^2, 16th percentile, 84th percentile.
#redshift			n(z)			16th			84th
1.049999977000000001e-01 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.049999931999999858e-01 1.413559736928053669e-07 8.144553390444370906e-09 2.648714907405653731e-07
5.049999886999999577e-01 1.428307706746545013e-05 4.239658494907933303e-08 2.834959818677974507e-05
7.049999841999999850e-01 9.936773815399926272e-04 1.281025776075630986e-04 1.691000201318509834e-03
9.049999798000000206e-01 3.373991851464714503e-02 1.534827002007888366e-02 4.571263224645308321e-02
1.104999975299999937e+00 9.920407044115050477e-01 4.907488224438086855e-01 1.340281346794058637e+00
1.304999970799999964e+00 7.507624981913407325e+00 2.846437650243089479e+00 1.208830225984651641e+01
1.504999966400000000e+00 2.354280425346550487e+01 1.533287224037894347e+01 3.151728678213840595e+01
1.704999961900000027e+00 3.621933866201871410e+01 2.652888894518804719e+01 4.504957986905694156e+01
1.904999957400000055e+00 3.176953120358026439e+01 2.529807002650489522e+01 3.890288507659890627e+01
2.104999952900000082e+00 4.468047249089817541e+01 3.623287825472890233e+01 5.341784915240211262e+01
2.304999948499999896e+00 6.425276505838949959e+01 5.330348105795317792e+01 7.405244242903239638e+01
2.504999944000000145e+00 9.810085144264219537e+01 8.366912887928724274e+01 1.093830296708694618e+02
2.704999939499999950e+00 8.644154330277702059e+01 7.458060057832493328e+01 9.826036675322370684e+01
2.904999935100000208e+00 8.993429181306301246e+01 7.785331171654478055e+01 1.046805621149078291e+02
3.104999930600000013e+00 9.270256108205249745e+01 8.173349320113005945e+01 1.008335726534835146e+02
3.304999926099999819e+00 9.004987720062491974e+01 7.916525297420646723e+01 1.000455798650982473e+02
3.504999921700000076e+00 6.377117827709761855e+01 5.586681811289059851e+01 7.210351500737290564e+01
3.704999917199999881e+00 5.207326321057936269e+01 4.406539820081106029e+01 5.840272419662528591e+01
3.904999912700000131e+00 3.054297336427551102e+01 2.809783687558125109e+01 3.423343637685839980e+01
4.104999908199999936e+00 2.848426487512978866e+01 2.644571274182332843e+01 3.183757767525552751e+01
4.304999903799999750e+00 1.255348419573232022e+01 1.150445223231299963e+01 1.396424539099689177e+01
4.504999899300000443e+00 1.498169279970466761e+01 1.352708947503463222e+01 1.690197904603682133e+01
4.704999894800000249e+00 8.478356414136385411e+00 7.582642361803705988e+00 9.826604989492281561e+00
4.904999890400000062e+00 1.728719959658893046e+01 1.414013385694877734e+01 2.146089115428733152e+01
5.104999885899999867e+00 1.041682614187564226e+01 8.972857285340031908e+00 1.257473404089996016e+01
5.304999881399999673e+00 7.745343540775126989e+00 6.832936095924765141e+00 9.120898535342300661e+00
5.504999877000000374e+00 4.676552363737248363e+00 4.103786076503634916e+00 5.692838383456336970e+00
5.704999872500000180e+00 3.183843125428345022e+00 2.725989477272746875e+00 3.994517294731827040e+00
5.904999867999999985e+00 3.460845599912567128e+00 2.932343095212092354e+00 4.443183270162631260e+00
6.104999863499999790e+00 4.221160065543374529e+00 3.603218774592303220e+00 5.626265168364848357e+00
6.304999859099999604e+00 2.360407965939637087e+00 1.963511701820550570e+00 3.190241442543817918e+00
6.504999854600000297e+00 3.560199085608120928e+00 2.777959366308621725e+00 5.247910845346011932e+00
6.704999850100000103e+00 1.682087300251975837e+00 1.358974113814130247e+00 2.374789385319602708e+00
6.904999845699999916e+00 3.262960397136883461e+00 1.598930937078237413e+00 5.683512723093486763e+00
7.104999841199999722e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
