#ALFALFA 100 HI mass function.
#"Date: 6/8/18  2:37:23 PM"
#ALFALFA 100 HI Mass function from Jones et al. (2018; MNRAS, 477, 2)
#hobs = 0.7
#log(MHI/Msun) log(phi/ Mpc^3 dex)
6.49655 -1.29050 -1.50559 -1.11453 
6.71034 -1.05587 -1.21229 -0.938547 
6.90345 -1.36872 -1.54469 -1.29050 
7.09655 -1.36872 -1.42737 -1.31006 
7.29655 -1.25140 -1.32961 -1.21229 
7.48276 -1.29050 -1.34916 -1.23184 
7.70345 -1.40782 -1.46648 -1.36872 
7.91034 -1.46648 -1.56425 -1.42737 
8.11034 -1.52514 -1.54469 -1.46648 
8.29655 -1.58380 -1.62291 -1.52514 
8.50345 -1.62291 -1.66201 -1.60335 
8.70345 -1.70112 -1.74022 -1.64246 
8.89655 -1.77933 -1.81844 -1.75978 
9.10345 -1.77933 -1.81844 -1.75978 
9.30345 -1.91620 -1.97486 -1.89665 
9.49655 -2.01397 -2.09218 -1.99441 
9.70345 -2.18994 -2.26816 -2.13128 
9.90345 -2.36592 -2.40503 -2.30726 
10.0966 -2.60056 -2.63966 -2.58101 
10.2897 -3.06983 -3.12849 -3.05028 
10.4966 -3.73464 -3.83240 -3.69553 
10.6966 -4.63408 -4.77095 -4.51676 
10.9034 -5.80726 -6.35475 -5.55307 
