#
# GAMA-II Bivariate Brightness Distribution Galaxy Stellar Mass Functions 
# Data from Wright et al. (2017); contact: awright AT uni-bonn.de 
# IMF: Chabrier
# h = 0.7
# Columns are: 
# logmstar = Stellar mass of bin centre [log10(Msun)]
# phi_bol  = Number density of galaxies in this bin for the Bolometric mass sample [h70^3/dex/Mpc^3]
# dphi_minus_bol  = Lower bound interval of Number density of galaxies in this bin for the Bolometric mass sample
# dphi_plus_bol  = Upper bound interval of Number density of galaxies in this bin for the Bolometric mass sample
# phi_opt  = Number density of galaxies in this bin for the Optical mass sample [h70^3/dex/Mpc^3]
# dphi_minus_opt  = Lower bound interval of Number density of galaxies in this bin for the Optical mass sample
# dphi_plus_opt  = Upper bound interval of Number density of galaxies in this bin for the Optical mass sample
#
#logmstar phi_bol dphi_minus_bol dphi_plus_bol phi_opt dphi_minus_opt dphi_plus_opt
1.200e+01 1.929e-05 2.623e-05 2.912e-05 0.000e+00 0.000e+00 1.467e-05
1.185e+01 2.448e-05 1.783e-05 2.178e-05 1.973e-05 2.280e-05 4.893e-05
1.170e+01 2.527e-04 1.778e-04 1.675e-04 1.267e-04 1.125e-04 1.117e-04
1.155e+01 1.098e-04 3.004e-05 3.749e-05 1.774e-04 6.037e-05 8.613e-05
1.140e+01 3.412e-04 6.006e-05 1.026e-04 3.933e-04 8.589e-05 1.298e-04
1.125e+01 7.370e-04 1.122e-04 1.504e-04 7.540e-04 1.109e-04 1.461e-04
1.110e+01 1.179e-03 1.220e-04 1.358e-04 1.388e-03 1.458e-04 1.712e-04
1.095e+01 1.868e-03 1.594e-04 1.733e-04 2.013e-03 1.605e-04 1.830e-04
1.080e+01 2.599e-03 1.688e-04 1.819e-04 2.748e-03 1.784e-04 1.965e-04
1.065e+01 3.740e-03 2.112e-04 2.216e-04 3.909e-03 2.267e-04 2.337e-04
1.050e+01 4.361e-03 2.050e-04 2.229e-04 4.815e-03 2.320e-04 2.965e-04
1.035e+01 5.054e-03 2.468e-04 3.705e-04 5.002e-03 2.570e-04 3.082e-04
1.020e+01 4.959e-03 2.334e-04 2.899e-04 5.043e-03 2.248e-04 2.475e-04
1.005e+01 5.287e-03 2.191e-04 2.327e-04 5.621e-03 2.242e-04 2.443e-04
9.900e+00 5.547e-03 2.183e-04 2.336e-04 5.998e-03 2.332e-04 2.567e-04
9.750e+00 6.146e-03 2.460e-04 2.698e-04 6.688e-03 2.584e-04 3.042e-04
9.600e+00 6.807e-03 2.752e-04 3.883e-04 6.996e-03 2.660e-04 3.516e-04
9.450e+00 7.930e-03 3.172e-04 6.464e-04 8.456e-03 3.139e-04 3.648e-04
9.300e+00 8.685e-03 3.244e-04 4.938e-04 9.728e-03 3.808e-04 3.812e-04
9.150e+00 9.734e-03 3.789e-04 4.391e-04 1.047e-02 4.362e-04 4.594e-04
9.000e+00 1.116e-02 4.573e-04 5.017e-04 1.201e-02 5.814e-04 7.974e-04
8.850e+00 1.288e-02 5.924e-04 5.940e-04 1.357e-02 6.866e-04 9.703e-04
8.700e+00 1.352e-02 7.481e-04 1.213e-03 1.445e-02 8.949e-04 1.159e-03
8.550e+00 1.559e-02 8.825e-04 1.036e-03 1.656e-02 1.281e-03 1.852e-03
8.400e+00 1.973e-02 1.278e-03 1.592e-03 2.144e-02 2.014e-03 7.373e-03
8.250e+00 2.272e-02 1.896e-03 2.137e-03 2.489e-02 2.691e-03 5.911e-03
8.100e+00 3.129e-02 3.190e-03 8.558e-03 2.571e-02 2.660e-03 4.075e-03
7.950e+00 3.522e-02 4.228e-03 9.164e-03 2.711e-02 3.818e-03 5.286e-03
7.800e+00 3.801e-02 7.141e-03 8.313e-03 3.593e-02 8.150e-03 1.152e-02
7.650e+00 4.161e-02 9.480e-03 1.331e-02 5.659e-02 1.665e-02 2.049e-02
7.500e+00 7.313e-02 2.022e-02 2.708e-02 8.875e-02 2.591e-02 3.889e-02
7.350e+00 1.453e-01 4.561e-02 6.180e-02 1.524e-01 4.638e-02 5.302e-02
7.200e+00 1.654e-01 4.349e-02 5.548e-02 1.811e-01 4.740e-02 5.963e-02
7.050e+00 1.788e-01 4.503e-02 6.684e-02 1.263e-01 3.697e-02 4.103e-02
6.900e+00 1.375e-01 3.401e-02 6.365e-02 1.330e-01 4.378e-02 5.523e-02
6.750e+00 1.530e-01 4.164e-02 1.601e-01 1.035e-01 4.067e-02 1.474e-01
6.600e+00 2.524e-01 1.498e-01 1.732e+00 2.286e-01 1.677e-01 2.204e-01
6.450e+00 3.203e-01 2.135e-01 2.681e+00 2.119e-01 1.812e-01 1.980e+00
6.300e+00 9.584e-02 4.514e-02 1.986e+00 2.004e-01 1.804e-01 2.379e+00
6.150e+00 2.228e-01 1.855e-01 1.549e+00 1.476e-01 1.436e-01 1.475e+00
6.000e+00 8.100e-01 7.009e-01 1.022e+00 2.789e-01 2.930e-01 7.126e-01
5.850e+00 3.815e-01 3.857e-01 3.700e-01 5.350e-01 5.692e-01 1.146e+00
5.700e+00 3.239e-02 3.304e-02 3.401e-02 2.858e-02 2.549e-02 4.439e-01
5.550e+00 3.742e-02 3.572e-02 4.519e-02 1.257e-02 1.567e-02 2.418e-02
5.400e+00 1.581e-02 2.140e-02 5.194e-02 1.040e-02 1.432e-02 2.597e-02
5.250e+00 6.482e-03 6.445e-03 6.068e-03 0.000e+00 0.000e+00 6.446e-06
