# stellar mass function at 0<z<1 from J. Moustakas et al. 2013, ApJ, 767, 50
# 1/Vmax estimate for ALL galaxies
# data in Tables 3 & 4, also Fig.8 (obtained by Michelle Furlong in email from author)
#
# use 170,000 gals at 0.01<z<0.2 from SDSS (GALEX, SDSS, 2MASS & WISE photom)
# and 40,000 gals at 0.2<z<1 with i<23 from PRIMUS survey over 5.5 deg^2 in 5 fields
# (CDFS, ELAIS-X1, SXDS, CFHTLS, COSMOS) (spec-z's, photom includes GALEX & IRAC)
#
# stellar masses from SED fitting using iSEDfit, based on FSPS (Conroy)
# assume SFHs are exp declining + stochastic bursts, range of metallicities, 
# dust attenuation using Charlot & Fall (2000)
# assume Chabrier (2003) IMF from 0.1-100 Msun
#
# assume h100=0.70, omega0=0.30, omegaL=0.70
#
# mass in Msun
# phi is dn/dlog10(m) in Mpc^-3 dex^-1
#
# 1 zlo - lower redshift bound
# 2 zhi - upper redshift bound
# 3 ngal - number of galaxies in bin
# 4 mass - center of stellar mass bin 
# 5 limit - 1=above 95% M/L completeness limit
# 6 phi - number density (log Mpc^-3 dex^-1)
# 7 phierr_lo - lower 1-sigma Poisson uncertainty on PHI (dex)
# 8 phierr_up - upper 1-sigma Poisson uncertainty on PHI (dex)
# 9 phierr_cv - estimated sample variance uncertainty on PHI (dex)
#
# zlo   zhi   ngal  lg(m) lim lg(phi)  err_lo  err_up  err_cv
#
# 0.01<z<0.2
  0.01  0.20  1040   9.00  1  -1.8989  0.0168  0.0174  0.0520
  0.01  0.20  1239   9.10  1  -1.9233  0.0162  0.0168  0.0477
  0.01  0.20  1397   9.20  1  -1.9704  0.0149  0.0154  0.0586
  0.01  0.20  1594   9.30  1  -2.0314  0.0144  0.0149  0.0522
  0.01  0.20  1874   9.40  1  -2.0552  0.0131  0.0135  0.0501
  0.01  0.20  2106   9.50  1  -2.1059  0.0121  0.0124  0.0530
  0.01  0.20  2465   9.60  1  -2.1437  0.0113  0.0116  0.0463
  0.01  0.20  2820   9.70  1  -2.1786  0.0115  0.0118  0.0509
  0.01  0.20  3434   9.80  1  -2.1885  0.0100  0.0102  0.0464
  0.01  0.20  3971   9.90  1  -2.2155  0.0084  0.0086  0.0477
  0.01  0.20  4667  10.00  1  -2.2338  0.0078  0.0080  0.0467
  0.01  0.20  5631  10.10  1  -2.2353  0.0068  0.0069  0.0453
  0.01  0.20  6601  10.20  1  -2.2622  0.0062  0.0063  0.0462
  0.01  0.20  8096  10.30  1  -2.2517  0.0056  0.0056  0.0486
  0.01  0.20  9341  10.40  1  -2.2848  0.0051  0.0051  0.0454
  0.01  0.20 10901  10.50  1  -2.3170  0.0046  0.0047  0.0464
  0.01  0.20 12177  10.60  1  -2.3651  0.0044  0.0044  0.0485
  0.01  0.20 13594  10.70  1  -2.4189  0.0041  0.0041  0.0494
  0.01  0.20 14172  10.80  1  -2.5038  0.0040  0.0040  0.0475
  0.01  0.20 14148  10.90  1  -2.6065  0.0039  0.0039  0.0463
  0.01  0.20 13361  11.00  1  -2.7281  0.0040  0.0040  0.0462
  0.01  0.20 11592  11.10  1  -2.8877  0.0043  0.0043  0.0427
  0.01  0.20  8682  11.20  1  -3.1037  0.0048  0.0049  0.0408
  0.01  0.20  5717  11.30  1  -3.3318  0.0059  0.0059  0.0424
  0.01  0.20  3119  11.40  1  -3.6056  0.0079  0.0080  0.0421
  0.01  0.20  1398  11.50  1  -3.9533  0.0117  0.0121  0.0468
  0.01  0.20   535  11.60  1  -4.3629  0.0191  0.0200  0.0500
