# stellar mass function at 0.2<z<4 from Muzzin etal 2013, ApJ 777, 18
# 1/Vmax Method; stellar mass function; ALL, QUIESCENT, and STAR-FORMING galaxies (Fig.6)
# data obtained from authors by Michelle Furlong
# 
# use UltraVISTA DR1 data release, 96,000 gals with K_AB<23.4 in COSMOS field
# photom from GALEX, CFHT/Subaru, Spitzer IRAC
# photo-z's from EAZY
# stellar masses from FAST using BC03 SPS, exp SFR histories, solar metallicity, Calzetti extinction
# assume Kroupa (2001) IMF (they assume M(Kroupa) = M(Chabier) + 0.04dex)
#
# Ho=70., Omega_lambda=0.7, Omega_matter=0.3
#
# [Phi] = number / Mpc^3 / dex
# EU_logPhi,EL_logPhi = upper and lower 1-sigma total random error of logPhi, 
# including Poisson error, cosmic variance, and uncertainties from photometric 
# redshift errors.
#
# A = all galaxies, Q = quiescent galaxies, SF = star-forming galaxies
#
#                       A	 A        A	   Q	    Q	     Q	     SF	       SF       SF
#  zlow zup Mstar    E_Mstar  logPhi    EU_Phi   EL_Phi	logPhi    EU_Phi   EL_Phi  logPhi    EU_Phi   EL_Phi
#
# 0.2<z<0.5
 0.2 0.5  11.992    0.050   -4.703    0.386    0.466   -4.703    0.386    0.466   -99       -99      -99
 0.2 0.5  11.893    0.050   -5.004    0.574    0.782   -5.004    0.574    0.782   -99       -99      -99
 0.2 0.5  11.794    0.050   -4.527    0.315    0.384   -4.527    0.315    0.384   -99       -99      -99
 0.2 0.5  11.695    0.050   -4.226    0.229    0.273   -4.226    0.229    0.273   -99       -99      -99
 0.2 0.5  11.595    0.050   -4.226    0.339    0.249   -4.226    0.335    0.247   -99       -99      -99
 0.2 0.5  11.496    0.050   -3.606    0.140    0.135   -3.642    0.146    0.139   -4.703    0.413    0.457
 0.2 0.5  11.397    0.050   -3.279    0.108    0.126   -3.305    0.108    0.125   -4.527    0.346    0.497
 0.2 0.5  11.298    0.050   -3.069    0.097    0.095   -3.129    0.094    0.098   -3.962    0.185    0.221
 0.2 0.5  11.198    0.050   -3.049    0.102    0.091   -3.095    0.098    0.093   -4.049    0.264    0.210
 0.2 0.5  11.099    0.050   -2.839    0.081    0.080   -2.914    0.089    0.083   -3.642    0.129    0.132
 0.2 0.5  11.000    0.050   -2.716    0.075    0.074   -2.833    0.076    0.077   -3.341    0.099    0.096
 0.2 0.5  10.901    0.050   -2.616    0.070    0.071   -2.753    0.072    0.075   -3.184    0.093    0.087
