#z z_err num_density num_density_err_high num_density_err_low
#Straatman+14
3.8 0.6 1.8e-05 7e-06 7e-06 
#Gould+23
2.5 0.5 5.616659762357553e-05   1.1931163875509835e-05  1.1931163875509835e-05 
3.5 0.5 1.3773932419097928e-05  4.3043843355436565e-06  4.3043843355436565e-06 
4.5 0.5 3.4468891793529055e-06  2.1621822203206254e-06  2.1621822203206254e-06 
#Carnall+20
2.25 0.5  5.3e-05 6e-06    6e-06   
2.75 0.5  2.9e-05 7e-06    7e-06   
3.5 0.5   6.8e-06 2.4e-06  2.4e-06 
3.5 0.5   1.7e-05 4e-06    4e-06   
#Schreiber+18
3.5 0.5 2e-05 3e-06 3e-06 
#Shahidi+20
3.4 0.6 1.2e-05 9.20e-06 1.9e-05 
4.7 0.7 4.1e-06 3.83e-06 4.1e-06 
#Merlin+19
3.5 0.5 1.98204331148e-05 1.19875774623e-06 1.19875774623e-06 
3.5 0.5 4.87332479001e-06 5.94411953768e-07 5.94411953768e-07 
#Girelli19
2.75 0.25 1.19124201e-05 2.68807737e-06 2.19434887e-06  
3.25 0.25 1.74984669e-06 7.17192420e-07 5.07675533e-07  
3.75 0.25 1.17489755e-06 6.16808764e-07 4.00384636e-07  
4.25 0.25 9.59400632e-07 5.92039227e-07 3.62292661e-07  
#Weaver+22
2.25  0.25 3.48752065e-05   1.02855660e-05 1.02855660e-05 
4.    0.5  7.47636821e-06   3.62159289e-06 3.62159289e-06 
3.25  0.25 1.54653922e-05   7.78531629e-06 7.78531629e-06 
5.    0.5  2.82683241e-06   2.22928165e-06 2.22928165e-06 
2.75  0.25 2.24079523e-05   8.41073905e-06 8.41073905e-06 
#Carnall+22
3.5 0.5 6.3e-05 3.8e-05 2.5e-05  
4.5 0.5 3.5e-05 3.4e-05 1.9e-05 
#Valentino23
3.5 0.5 2.7e-5 1.0e-5 0.8e-5  
3.5 0.5 2.3e-5 1.0e-5 0.7e-5 
3.5 0.5 4.1e-5 1.2e-5 0.9e-5 
3.5 0.5 2.8e-5 1.0e-5 0.8e-5
#Nanayakkara+22
3.5 0.5 1.5e-5 7.500000000000001e-06 7.500000000000001e-06 
